ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
49,PROJETO APRENDER NUCLEO EDUCACIONAL,AV DOUTOR ALTINO ARANTES,472,478,04042-002,+55 11 5589-4671,,,administracao@escolaprojetoaprender.com.br,35569203,EP
50,D AMBROSIO INSTITUTO EDUCACIONAL,AV DOUTOR BERNARDINO BRITO F. DE CARVALHO,1459,,03535-000,+55 11 2743-3231,,,,35296004,EP
51,REINO DO ENSINO COLEGIO,AV DOUTOR BERNARDINO BRITO FONSECA DE CARVALHO,1459,1461 E 1455,03535-000,+55 11 2254-9224,+55 11 2745-2000,+55 11 2254-9224,,35154106,EP
52,LILIANE SANTANA CENTRO DE EDUCACAO INFANTIL,AV DOUTOR DECIO DE TOLEDO LEITE,557,,08111-220,+55 11 2572-6446,,,instituto.vida@yahoo.com.br,35565611,CR.P.CONV
53,EDUCANDARIO DOM DUARTE,AV DOUTOR HEITOR ANTONIO EIRAS GARCIA,5985,,05564-200,,,,,35570278,EDUCAÇÃO COMPLEMENTAR
54,PEQUENO CASTELO ESCOLA DE EDUCACAO INFANTIL,AV DOUTOR LUIS ARROBAS MARTINS,503,,04781-000,,,,,35563699,EP
55,JOSE CLEMENTE PEREIRA EMEI,AV DOUTOR PAULO COLOMBO PEREIRA DE QUEIROZ,320,,03982-130,+55 11 2702-2074,,+55 11 2702-2674,,35081024,EMEI
56,PARQUE SANTA MADALENA CRECHE MUNICIPAL,AV DOUTOR PAULO COLOMBO PEREIRA DE QUEIROZ,340,,03982-130,+55 11 2702-1856,+55 11 2703-2478,,,35239549,CEI DIRET
57,UNIVERSIDADE SAO JUDAS TADEU,AV DOUTOR VITAL BRASIL,1000,,05503-000,+55 11 2799-1939,,,fabricio.mainieri@animaeducacao.com.br,35578186,PRONATEC/IES
58,BETSAIDA,AV ELISIO CORDEIRO DE SIQUEIRA,639,,05133-005,,,,,35574533,EDUCAÇÃO COMPLEMENTAR
59,CYNIRA STOCCO FAUSTO PROFESSORA,AV ELISIO TEIXEIRA LEITE,4511,,02801-000,+55 11 3971-3932,,,e479500a@educacao.sp.gov.br,35479500,EE
60,CACILDA BECKER EMEF,AV ENG ARMANDO DE ARRUDA PEREIRA,2013,,04309-011,+55 11 5588-4364,+55 11 5021-7888,,,35053478,EMEF
61,CARLOS AUGUSTO DE FREITAS VILLALVA JUNIOR DOUTOR,AV ENG ARMANDO DE ARRUDA PEREIRA,506,,04308-000,+55 11 5583-3117,+55 11 5017-3988,,e004704a@educacao.sp.gov.br,35004704,EE
62,ALMEIDA JUNIOR PROFESSOR,AV ENG HEITOR ANTONIO EIRAS GARCIA,1874,,05588-001,+55 11 3735-0694,,+55 11 3735-4719,e037436a@educacao.sp.gov.br,35037436,EE
63,FAZENDINHA ENCANTADA EEI,AV ENG HEITOR ANTONIO EIRAS GARCIA,4382,,05564-100,+55 11 3782-0960,,,,35807278,EP
64,NOVA ERA MODULO II CRECHE,AV ENG HEITOR ANTONIO EIRAS GARCIA,5535,,05564-100,+55 11 3781-7970,,,,35180661,CEI INDIR
65,BENJAMIN ANTONIO SALLES ARCURI PROF CRECHE,AV ENG LUIZ GOMES CARDIM SANGIRARDI,640,,04112-080,+55 11 5539-5338,+55 11 3266-0804,,,35181262,CEI INDIR
66,THE BRITISH COLLEGE OF BRAZIL,AV ENGEIRO OSCAR AMERICANO,630,,05673-050,+55 11 3031-4697,,,,35464211,EP
67,APRENDER E BRINCAR CENTRO DE EDUCACAO INFANTIL,AV FELIX NASCENTES PINTO,322,,08090-280,+55 11 7804-4998,,,cei.aprenderebrincar@hotmail.com,35565143,CR.P.CONV
68,PARQUE SANTA RITA,AV FERNANDO FIGUEIREDO LINS,712,,08150-040,,,,,35573449,EDUCAÇÃO COMPLEMENTAR
69,NOSSA SENHORA APARECIDA,AV FRANCISCO MACHADO DA SILVA,1414,B,02678-000,,,,,35571748,EDUCAÇÃO COMPLEMENTAR
70,SENAC FRANCISCO MATARAZZO,AV FRANCISCO MATARAZZO,249,,05001-000,+55 11 2189-2100,,+55 11 2189-2150,,35148623,SENAC
71,APOLO COLEGIO,AV FRANCISCO MONT'ALVERNE,452,,05549-210,+55 11 3782-2460,,+55 11 3782-2460,,35176151,EP
72,JARDIM ARPOADOR CEI INDIRETO,AV GENERAL ASDRUBAL DA CUNHA,1299,,05565-000,+55 11 3788-0736,,,,35309266,CEI INDIR
73,SANTA ROSA CENTRO DE EDUCACAO INFANTIL,AV GENERAL ASDRUBAL DA CUNHA,1550,,05565-000,,,,,35476473,CR.P.CONV
74,ARTE VIVA COLEGIO,AV GENERAL ASDRUBAL DA CUNHA,279,,05565-000,+55 11 3781-0693,,,colegioarteviva@hotmail.com.br,35561654,EP
75,EEI FUTURO BRILHANTE,AV GAMELEIRA BRANCA,352,,03585-000,+55 11 2743-8793,,,,35576402,EP
76,JUNTOS III PARQUE SAVOY,AV GAMELEIRA BRANCA,437,,03585-000,,,,,35572445,EDUCAÇÃO COMPLEMENTAR
77,NAZARETH - VIDA NOVA,AV GERONIMO BARBOSA DA SILVA,223,,08150-590,,,,,35573474,EDUCAÇÃO COMPLEMENTAR
78,PORTINHA ENCANTADA PRE ESCOLA,AV GOVERNADOR ADHEMAR PEREIRA DE BARROS,145,,03454-070,+55 11 2724-5525,,+55 11 2727-4797,,35444169,EP
79,PADRE MENARD,AV GUAPIRA,2055,,02265-002,,,,,35572986,EDUCAÇÃO COMPLEMENTAR
80,GUARAPIRANGA COLEGIO,AV GUARAPIRANGA,1070,,04762-000,+55 11 5891-5536,,,colegioguarapiranga@colegioguarapiranga.com.br,35151889,EP
81,KIDS ARTE BERCARIO E EDUCACAO INFANTIL,AV IBIUNA,803,,03507-010,+55 11 3479-9324,,,edileia@kidsarte.com.br,35569057,EP
82,VELEIROS CRECHE MUNICIPAL,AV IPANEMA,834,,04773-010,+55 11 5695-0250,+55 11 5523-1366,+55 11 5546-0771,,35239203,CEI DIRET
83,PADRE GREGORIO WESTRUPP,AV ITACIRA,2801,,04061-003,,,,,35571763,EDUCAÇÃO COMPLEMENTAR
84,CARLOS CATTONY PROF,AV JACEGUAVA,11,,04870-425,+55 11 5979-2287,+55 11 5979-2579,,e044436a@educacao.sp.gov.br,35044436,EE
85,RAINHA DA PAZ,AV JACOBUS BALDI,288,,05847-450,,,,,35575409,EDUCAÇÃO COMPLEMENTAR
86,ACAO UNIVIDA,AV JOAO BATISTA SANTIAGO,373,,08150-030,,,,,35573462,EDUCAÇÃO COMPLEMENTAR
87,QUINTAL ESCOLA EDUCACAO INFANTIL E NATACAO,AV JOAQUIM CANDIDO DE AZEVEDO MARQUES,1234,,05688-021,+55 11 3742-5899,,,,35164598,EP
88,AMOR ETERNO CENTRO DE EDUCACAO INFANTIL,AV JOSE DE MORAES CABRAL,347,,08160-200,+55 11 3425-6877,,,institutoed.amor.eterno@bol.com.br,35569434,PRIVADA COMUNITÁRIA
89,CHACARA SONHO AZUL EMEF,AV JOSE ESTIMA FILHO,1205,,04960-020,+55 11 5517-0228,+55 11 5517-1258,+55 11 5517-1258,,35242263,EMEF
90,NOVO AMANHECER,AV JOSE HIGINO NEVES,1624,,08461-650,,,,,35570229,EDUCAÇÃO COMPLEMENTAR
91,SINHAZINHA MEIRELLES,AV JOSE JOAQUIM SEABRA,1246,,05364-000,,,,,35570783,EDUCAÇÃO COMPLEMENTAR
92,GERACAO FUTURO,AV JOSE MARIA WHITAKER,2000,,04057-000,,,,,35571775,EDUCAÇÃO COMPLEMENTAR
93,JARDIM COLONIAL,AV JOSE VELHO BARRETO,281,,03968-080,,,,,35575823,EDUCAÇÃO COMPLEMENTAR
94,CORUJINHA BERCARIO E EDUCACAO INFANTIL - SABER E BRINCAR,AV JULIO BUONO,1018,,02201-000,+55 11 3807-3944,,,corujinhasaberebrincar@gmail.com,35569689,EP
95,BELO RAMO ESCOLA,AV MARCONDES DE BRITO,1074,,03509-000,+55 11 2651-8174,,,escolabeloramo@gmail.com,35807035,EP
96,MARIA CURSI,AV MARIA CURSI,1232,,03962-000,,,,,35575811,EDUCAÇÃO COMPLEMENTAR
97,UNIVERSIDADE PAULISTA UNIP CAMPUS MARQUES,AV MARQUES DE SAO VICENTE,3001,,05036-040,+55 11 3613-7000,,,fcobastos@unip.br,35567164,PRONATEC/IES
98,MAURA DUARTE NUVENS CENTRO DE EDUCACAO INFANTIL,AV MIGUEL CONEJO,838,,02731-060,+55 11 3921-4339,,,crecheasasdavida2010@hotmail.com,35564151,CR.P.CONV
99,ESCOLA LUMINIS,AV MIGUEL STEFANO,936,,04301-000,,,,secretaria@escolaluminis.com.br,35574399,EP
100,MAMAE CORUJA ESCOLA DE EDUCACAO INFANTIL UNIDADE I,MONSENHOR ANTONIO DE CASTRO,491,495,03461-000,,,,,35288536,EP
101,CENTRO ATEND SOCIOEDUC ADOLESCENTE VILA LEOPOLDINA UI,AV NACOES UNIDAS,2233,,05310-000,+55 11 3468-8409,,,,35295942,FEBEM-UI
102,UNIDADE NOVE DE JULHO,AV NOVE DE JULHO,4805,,01407-200,,,,,35570953,EDUCAÇÃO COMPLEMENTAR
103,TELIA GIROTTI,AV NSRA DO O,1431,,02715-000,,,,,35571349,EDUCAÇÃO COMPLEMENTAR
104,MARY,AV NSRA DO O,1431,,02715-000,,,,,35571350,EDUCAÇÃO COMPLEMENTAR
105,IV CENTENARIO COLEGIO UNIDADE II,AV OURO VERDE DE MINAS,1344,,03937-090,+55 11 2728-2525,,,admcentenario@uol.com.br,35569677,EP
106,ALVARES DE AZEVEDO POLITEC,AV PAULISTA,302,,01310-000,+55 11 4501-9668,+55 11 2181-0700,,atendimento@ibta.edu.br,35130539,EP
107,VILLA COR BERCARIO E EDUCACAO INFANTIL,AV PAVAO,246,,04516-010,+55 11 5533-3636,,,,35456901,EP
108,ANTARES COLEGIO,AV PADRES OLIVETANOS,90,,03648-000,+55 11 2957-2297,+55 11 2957-1442,,antares2003@uol.com.br,35102027,EP
109,PERATUBA II EMEF,AV PERATUBA,09,,04951-000,+55 11 5892-6308,+55 11 5895-6591,,,35513210,EMEF
110,NAIA II CENTRO DE EDUCACAO INFANTIL,AV PIO XI,SN,,04430-150,+55 11 5543-7310,+55 11 5615-4242,,,35183751,CR.P.CONV
111,BATISTA,AV POMPEIA,851,,05023-000,,,,,35574594,EDUCAÇÃO COMPLEMENTAR
112,CONSTRUIR O AMANHA,AV PRIMAVERA DE CAIENA,43,,03981-010,,,,,35575513,EDUCAÇÃO COMPLEMENTAR
113,INSTITUTO DE PESQUISAS TECNOLOGICAS CRECHE,AV PROF ALMEIDA PRADO,532,,05508-901,+55 11 3767-4755,,+55 11 3767-4703,,35571003,CCI
114,SANTA TEREZINHA CEI INDIRETO,AV PROFESSOR CARDOZO DE MELLO NETO,1000,,04474-180,,,,,35312691,CEI INDIR
115,LUA DE CRISTAL ESCOLINHA,AV PROFESSOR CARDOZO DE MELLO NETO,324,,04474-180,+55 11 5673-9241,,,,35483710,EP
116,FORCA E ACAO COMUNITARIA CRECHE CENTRO DE DESENV EDUCACIONAL,AV PROFESSOR HERMOGENES DE FREITAS LEITAO FILHO,10,,04865-000,+55 11 5979-7869,+55 11 5979-6530,,,35129999,CR.P.CONV
117,ERODICE PONTES DE QUEIROZ REV,AV. PROFESSOR HERMOGENES DE FREITAS LEITAO FILHO,1500,,04865-000,+55 11 5979-6959,,+55 11 5979-6785,e041798a@educacao.sp.gov.br,35041798,EE
118,LUIZA MENDES CORREA SOUZA PROFESSORA,AV PROFESSOR LUIZ IGNACIO ANHAIA MELLO,5796,,03294-100,+55 11 2115-5205,,+55 11 2211-7280,e001867a@educacao.sp.gov.br,35001867,EE
119,PENSAR E CRIAR COLEGIO,AV PROFESSOR SYLLA MATTOS,290,,04182-010,+55 11 2336-5709,,,,35291018,EP
120,ALBERTO CARDOSO DE MELLO NETO DR,AV PROFESSORA VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO,633,,02346-000,+55 11 2204-0517,,+55 11 2953-7039,e001016a@educacao.sp.gov.br,35001016,EE
121,CENTRO INTEG ED DE JOVENS E ADULTOS IGUATEMI I,AV RAGUEB CHOFFI,3747,,0834-120,+55 11 2059-8858,,+55 11 2059-8918,,35568120,CIEJA
122,SAPEQUINHAS ESCOLA,AV RAMALHO ORTIGAO,169,,04130-010,+55 11 5068-2592,,,,35463164,EP
123,JARDIM BRASIL,AV RAMIZ GALVAO,622,,02223-000,,,,,35573012,EDUCAÇÃO COMPLEMENTAR
124,MONITOR INSTITUTO,AV RANGEL PESTANA,1105,SEDE,03001-000,+55 11 3355-1000,,,,35257916,EDUCAÇÃO A DISTÂNCIA
125,INSTITUTO BRASILEIRO DE DESING DE INTERIORES IBDI,AV RANGEL PESTANA,1105,3 ANDAR,03001-000,+55 11 3229-8552,,,,35498877,EDUCAÇÃO A DISTÂNCIA
126,UNIVERSAL BRASILEIRO INSTITUTO,AV RIO BRANCO,781,,01206-000,+55 11 3361-2845,,,,35257497,EDUCAÇÃO A DISTÂNCIA
127,RODOLFO PIRANI,AV RODOLFO PIRANI,445,,08310-000,,,,,35575835,EDUCAÇÃO COMPLEMENTAR
128,AMANHA-SER I,AV ROSARIA,150,,08021-070,,,,,35573450,EDUCAÇÃO COMPLEMENTAR
129,IRENE RAMALHO CENTRO DE EDUCACAO INFANTIL,AV ROSARIA,630,,08021-070,+55 11 98021-3444,,,cenop.social@outlook.com,35563067,CR.P.CONV
130,IMPACTA COLEGIO DE TECNOLOGIA DA INFORMACAO,AV RUDGE,315,,01133-000,+55 11 3262-5007,+55 11 3254-2200,+55 11 5589-2666,,35260940,EP
131,VERONIA,AV SAO JOSE DOS CORDEIROS,205,,03818-020,,,,,35573887,EDUCAÇÃO COMPLEMENTAR
132,PRISCILIANA DUARTE DE ALMEIDA DONA,AV SADAMU INOUE,6820,,04865-005,+55 11 5920-8498,,,e005320a@educacao.sp.gov.br,35005320,EE
133,COLMEIA,AV SAPOPEMBA,28533,32 - KM 28,08380-180,,,,,35575948,EDUCAÇÃO COMPLEMENTAR
134,RITA PINTO DE ARAUJO PROFESSORA,AV SAPOPEMBA,30500,"KM 30,5",08330-180,+55 11 2731-0141,+55 11 2734-4138,+55 11 2731-0141,e003323a@educacao.sp.gov.br,35003323,EE
135,ROGACIONISTA,AV SANTA MARINA,534,,05036-000,,,,,35574703,EDUCAÇÃO COMPLEMENTAR
136,SANTA MONICA COLEGIO,AV SANTA MONICA,513,,05171-000,+55 11 2615-8698,,,,35568533,EP
137,MONTE AZUL,AV TOMAS DE SOUSA,552,,05836-350,,,,,35575458,EDUCAÇÃO COMPLEMENTAR
138,UNIVERSIDADE PAULISTA UNIP CAMPUS JAGUARE,AV TORRES DE OLIVEIRA,330,,05347-020,+55 11 3767-5800,,,fcobastos@unip.br,35567218,PRONATEC/IES
139,AMAS VILA FORMOSA,AV TRUMAIN,705,,03366-000,,,,,35570114,EDUCAÇÃO COMPLEMENTAR
140,TECENDO O SABER II CENTRO DE EDUCACAO INFANTIL,AV ULTRAMARINO,466,,02441-000,+55 11 2016-3399,,,alianacapoeirabr@gmail.com,35501924,CR.P.CONV
141,JOSE TALARICO,AV WALDEMAR CARLOS PEREIRA,452,,03533-000,+55 11 2651-3914,+55 11 2651-9933,+55 11 2651-3914,e002677a@educacao.sp.gov.br,35002677,EE
142,SEARA BENDITA I,AV YERVANT KISSAJIKIAN,2858,,04428-000,,,,,35574200,EDUCAÇÃO COMPLEMENTAR
143,SAO MIGUEL CENTRO DE EDUCACAO INFANTIL CONJUNTO HABITACIONAL,BARAO DE ALMEIDA GALEAO,500,,08131-315,+55 11 98021-3444,,,cenop.social@outlook.com,35565714,CEI INDIR
144,CHACARA TURISTICA EMEF,CACHOEIRO DO ITAPEMIRM,87,,05164-015,,,,,35567048,EMEF
145,ESCOLA DE PROTESE DA FUND DES CIENT TEC ODONTOLOGIA,CIDADE UNIVERSITARIA,2227,,05508-900,+55 11 3819-6116,+55 11 3819-6110,+55 11 3819-6110,,35256596,EP
146,JULIO CESAR DE AGUIAR CRECHE,DA IGREJA,1541,,03126-007,+55 11 2591-1452,,,,35181353,CR.P.CONV
147,NOSSA TURMA CENTRO DE EDUCACAO INFANTIL,DOUTOR GASTAO VIDIGAL,1946,,05316-900,+55 11 3832-3366,,,contato@nossaturma.org.br,35566147,CR.P.CONV
148,SANTA MONICA CENTRO DE EDUCACAO INFANTIL,ESTRADA DA CUMBICA,540,,04947-000,+55 11 98475-4946,,,santaceimonica@gmail.com,35566378,CR.P.CONV
149,JOSEFA JULIA CENTRO DE EDUCACAO INFANTIL,ESTRADA DAS LAGRIMAS,1558,,04232-000,+55 11 2083-7708,,,,35380829,CR.P.CONV
150,FILHOS DA TERRA,ESTRADA DE PIRAPORA,103,,05271-000,,,,,35574430,EDUCAÇÃO COMPLEMENTAR
151,LUIZA MARCELINA BRANCA CHAIB,ESTRADA DO ALVARENGA,5110,,04476-050,+55 11 5674-0805,,+55 11 5674-3034,e004959a@educacao.sp.gov.br,35004959,EE
152,ALVORADA CENTRO DE EDUCACAO INFANTIL,EST CANAL DE COCAIA,5000,,04849-032,+55 11 5521-3929,,,sede@casascentro.org.br,35561186,CR.P.CONV
153,TABOR SIPEB ESCOLA FILANTRÓPICA,EST DA COLONIA,120,,08370-190,+55 11 2731-2119,,,,35126676,PRIVADA - FILANTRÓPICA
154,RUMO INICIAL COLEGIO,EST DAS LAGRIMAS,2282,,04232-000,+55 11 2947-6697,+55 11 2948-0833,+55 11 2969-7009,paula@colegiorumoinicial.com.br,35155019,EP
155,ISOLINA LEONEL FERREIRA PROFESSORA EMEI,EST DAS LAGRIMAS,603,,04232-000,,,,,35477916,EMEI
156,TIA MIMA CENTRO DE EDUCACAO INFANTIL,EST DAS LAGRIMAS,810,,04232-000,,,,ceitiamima@gmail.com,35561393,CR.P.CONV
157,ANTERROS COLEGIO,EST DAS TAIPAS,4016,,02991-000,+55 11 3943-4601,+55 11 3943-3019,,anterros@ig.com.br,35173149,EP
158,CASINHA DO SABER E EXTERNATO ELVIRA RAMOS,EST DE ITAPECERICA,2775,,05835-005,+55 11 5511-7514,+55 11 5511-7514,+55 11 5511-7514,elvirasc@terra.com.br,35142311,EP
159,EVOLUCAO COLEGIO,EST DE MOGI DAS CRUZES,116,,03890-000,+55 11 2280-0990,+55 11 2042-4708,,atendimento@colegioevolucao-objetivo.com.br,35157132,EP
160,TRES LAGOS CEU,EST DO BARRO BRANCO,SN,,04851-215,,,,,35455866,CEU CLEC
161,CASA PADRE RAFAEL CENTRO DE EDUCACAO INFANTIL,EST DO CAMPO LIMPO,5295,,05787-000,+55 11 5842-6185,,,,35452221,CR.P.CONV
162,BERGAMIM COLEGIO,EST DO CAMPO LIMPO,765,773,05777-001,+55 11 5513-4525,+55 11 5814-4806,,,35129756,EP
163,CRIANCAS BRILHANTES CENTRO DE EDUCACAO INFANTIL,EST DO LAGEADO VELHO,96,,08451-000,+55 11 2554-6575,,,,35446166,CR.P.CONV
164,NOVO AMANHECER CENTRO DE EDUCACAO INFANTIL,EST DO M BOI MIRIM,6223,,04948-030,+55 11 98352-3628,,,talentojovem.org@gmail.com,35569069,CR.P.CONV
165,ITATINGA CENTRO DE CONVIVENCIA,EST DO RETIRO,50,,04474-150,+55 11 5673-1110,,,,35388750,CEI INDIR
166,BRANCA DE NEVE CENTRO DE EDUCACAO INFANTIL,EST DOM JOAO NERY,2935,,08151-000,+55 11 2025-3117,,,,35438236,CR.P.CONV
167,SANTA MONICA COLEGIO,EST DOM JOAO NERY,4511,,08452-340,+55 11 2035-1887,,+55 11 2035-1887,,35293702,EP
168,JARDIM BARTIRA EMEF,EST DOM JOAO NERY,SN,,08452-340,,,,,35560431,EMEF
169,MIGUEL MALUHY COMENDADOR,EST DOS MIRANDAS,40,,05752-590,+55 11 5844-9526,+55 11 5842-7624,,e907637a@educacao.sp.gov.br,35907637,EE
